train/n_updates,train/ent_coef,train/actor_loss,time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,eval/ep_b1_std,eval/ep_nodes_above_threshold,eval/ep_pressure_obj_mean,eval/ep_nodes_below_threshold,eval/ep_pressure_obj_std,eval/ep_b3_mean,eval/ep_pump_price_obj_mean,eval/ep_b3_std,eval/ep_b2_std,eval/ep_b1_mean,eval/ep_timesteps_below_zero,eval/ep_pump_price_obj_std,eval/ep_b2_mean,eval/ep_nodes_below_zero
2531,0.009999999776482582,-4.66696834564209,420,48.0,20352,21.07457559,0.5652952790260315,485,41,0.003,0.07891552533239105,0.0,1.0,0.0,0.0,0.660369879459205,0.5997582172124852,0.0796938384928075,0.10681387078786911,0.85188113204272,0,0.22716492678428224,0.9062585731539599,0.0
,,,424,48.0,20352,21.07457559,,485,41,,,,,,,,,,,,,,,
2579,0.009999999776482582,-4.569113254547119,428,48.0,20736,21.106983099999997,0.07793442904949188,484,42,0.003,,,,,,,,,,,,,,
,,,432,48.0,20736,21.106983099999997,,484,42,,,,,,,,,,,,,,,
2627,0.009999999776482582,-4.766223430633545,436,48.0,21120,21.131362340000006,0.26172107458114624,482,43,0.003,0.082318767065395,0.0,0.9144736842105262,0.08378088077336197,0.14056651035059795,0.6414590888746797,0.6103139545476052,0.09785085450337662,0.08899968615686904,0.8216919536148486,0,0.20632316593211675,0.9077174114318934,0.0
,,,440,48.0,21120,21.131362340000006,,482,43,,,,,,,,,,,,,,,
2675,0.009999999776482582,-4.860067844390869,444,48.0,21504,21.028973219999997,0.284311443567276,484,44,0.003,,,,,,,,,,,,,,
,,,448,48.0,21504,21.028973219999997,,484,44,,,,,,,,,,,,,,,
2723,0.009999999776482582,-4.972908020019531,452,48.0,21888,20.96983672,0.23906594514846802,483,45,0.003,0.06709617549421773,0.0,1.0,0.0,0.0,0.5178489286941792,0.5927330761204526,0.0899701243695792,0.10113392466775341,0.881787822163417,0,0.2592134896244047,0.9029951458672278,0.0
,,,456,48.0,21888,20.96983672,,482,45,,,,,,,,,,,,,,,
2771,0.009999999776482582,-5.06417989730835,460,48.0,22272,20.918392719999996,0.5609456300735474,484,45,0.003,,,,,,,,,,,,,,
,,,464,48.0,22272,20.918392719999996,,484,45,,,,,,,,,,,,,,,
2819,0.009999999776482582,-5.086752891540527,468,48.0,22656,20.907088230000003,0.4400028884410858,483,46,0.003,0.1286484671226828,0.0,0.9945175438596491,0.0053705692803437165,0.03798357034142275,0.5405636840590059,0.6220529413040577,0.10382170112609693,0.07543977296184473,0.802921315445774,0,0.17924338081049115,0.9173824432542537,0.0
,,,472,48.0,22656,20.907088230000003,,482,46,,,,,,,,,,,,,,,
2867,0.009999999776482582,-5.125632286071777,476,48.0,23040,20.7778774,0.5272194147109985,484,47,0.003,,,,,,,,,,,,,,
,,,480,48.0,23040,20.7778774,,484,47,,,,,,,,,,,,,,,
2915,0.009999999776482582,-5.324204921722412,484,48.0,23424,20.781562140000002,0.3858761191368103,483,48,0.003,0.10223624096566007,0.0,0.9945175438596491,0.0053705692803437165,0.03798357034142275,0.546481621838919,0.6185010159976828,0.07531875130263914,0.09743055116325132,0.8355843658005175,0,0.2121607980021345,0.8971676873298732,0.0
,,,488,48.0,23424,20.781562140000002,,482,48,,,,,,,,,,,,,,,
2963,0.009999999776482582,-5.135488510131836,492,48.0,23808,20.75816453,0.6484856009483337,484,49,0.003,,,,,,,,,,,,,,
,,,496,48.0,23808,20.75816453,,484,49,,,,,,,,,,,,,,,
3011,0.009999999776482582,-5.254565715789795,500,48.0,24192,20.65971123,0.6973283290863037,482,50,0.003,0.07754821697935783,0.0,0.9890350877192983,0.010741138560687433,0.053142351716699704,0.5786352440671911,0.6439242982487559,0.06885385674524137,0.1181257516215692,0.8652439216833413,0,0.2053489776264541,0.8784610505604421,0.0
,,,504,48.0,24192,20.65971123,,482,50,,,,,,,,,,,,,,,
3059,0.009999999776482582,-5.460815906524658,508,48.0,24576,20.58899629,0.7722459435462952,483,50,0.003,,,,,,,,,,,,,,
,,,512,48.0,24576,20.58899629,,483,50,,,,,,,,,,,,,,,
3107,0.009999999776482582,-5.594245910644531,516,48.0,24960,20.540969009999998,0.29582902789115906,482,51,0.003,0.09191075330254803,0.0,0.924342105263158,0.07411385606874328,0.20965841539595517,0.4541311759990956,0.6451903412363885,0.13065561099458162,0.1286835486921166,0.8391001956458681,2,0.21057478184431228,0.8638338499520913,0.010741138560687433
,,,520,48.0,24960,20.540969009999998,,481,51,,,,,,,,,,,,,,,
3155,0.009999999776482582,-5.501285552978516,524,48.0,25344,20.4359421,0.8656320571899414,483,52,0.003,,,,,,,,,,,,,,
,,,528,48.0,25344,20.4359421,,483,52,,,,,,,,,,,,,,,
3203,0.009999999776482582,-5.51817512512207,532,48.0,25728,20.458037360000002,0.5113056898117065,482,53,0.003,0.18179493577057537,0.0,1.0,0.0,0.0,0.5972469221225457,0.612985370569677,0.07001044585763957,0.09599198572995515,0.759264482127959,0,0.2131234717028132,0.9177763703515742,0.0
,,,536,48.0,25728,20.458037360000002,,481,53,,,,,,,,,,,,,,,
3251,0.009999999776482582,-5.706512451171875,540,48.0,26112,20.391074189999998,0.03422018140554428,483,54,0.003,,,,,,,,,,,,,,
