train/learning_rate,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_len_mean,train/n_updates,time/time_elapsed,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_pressure_obj_mean,eval/ep_timesteps_below_zero,eval/ep_b1_mean,eval/ep_pressure_obj_std,eval/ep_nodes_below_zero,eval/ep_b3_std,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_nodes_below_threshold,eval/ep_nodes_above_threshold,eval/ep_b2_std,eval/ep_b2_mean
0.003,-7.90377950668335,478,21.673673439999998,48000,0.006520618684589863,996,0.009999999776482582,48.0,5987,100,0.8566882625787492,0.3008905790382966,1.0,0,0.8724635659087148,0.0,0.0,0.12240509637404633,0.6362483575259911,0.11870625440799469,0.0,0.0,0.06671608591227082,0.6911713600756362
,,478,21.673673439999998,48000,,1000,,48.0,,100,,,,,,,,,,,,,,
0.003,-8.417625427246094,479,21.668291989999997,48384,0.004975582472980022,1004,0.009999999776482582,48.0,6035,100,,,,,,,,,,,,,,
,,479,21.668291989999997,48384,,1008,,48.0,,100,,,,,,,,,,,,,,
0.003,-8.113093376159668,479,21.654343269999995,48768,0.002485274337232113,1012,0.009999999776482582,48.0,6083,101,,,,,,,,,,,,,,
,,479,21.654343269999995,48768,,1016,,48.0,,101,,,,,,,,,,,,,,
0.003,-8.399336814880371,479,21.643873539999994,49152,0.0050656418316066265,1020,0.009999999776482582,48.0,6131,102,0.8115604881990579,0.30184663022337677,0.9945175438596491,0,0.8150376576205376,0.03798357034142275,0.0,0.15276435523900966,0.6923048098331773,0.16731432433849155,0.0053705692803437165,0.0,0.07551467035375307,0.6464170355567317
,,479,21.643873539999994,49152,,1024,,48.0,,102,,,,,,,,,,,,,,
0.003,-8.035330772399902,480,21.665497730000002,49536,0.006718582008033991,1028,0.009999999776482582,48.0,6179,103,,,,,,,,,,,,,,
,,480,21.665497730000002,49536,,1032,,48.0,,103,,,,,,,,,,,,,,
0.003,-8.489737510681152,479,21.664345810000004,49920,0.003032770473510027,1036,0.009999999776482582,48.0,6227,104,0.8491389937199759,0.29046364345384246,1.0,0,0.8186110977879063,0.0,0.0,0.12300550986823769,0.665023436499987,0.1698085485965264,0.0,0.0,0.06437128143537597,0.6733577042807529
,,479,21.664345810000004,49920,,1040,,48.0,,104,,,,,,,,,,,,,,
0.003,-8.341100692749023,479,21.678010729999997,50304,0.004578718915581703,1044,0.009999999776482582,48.0,6275,104,,,,,,,,,,,,,,
,,479,21.678010729999997,50304,,1048,,48.0,,104,,,,,,,,,,,,,,
0.003,-8.566509246826172,479,21.68983269,50688,0.004934118129312992,1052,0.009999999776482582,48.0,6323,105,0.8483838016542503,0.28641268529885966,1.0,0,0.8678697751148093,0.0,0.0,0.13067398454956686,0.6348045798617842,0.12230503832208227,0.0,0.0,0.06640605490009047,0.639860780688127
,,479,21.68983269,50688,,1056,,48.0,,105,,,,,,,,,,,,,,
0.003,-8.205730438232422,479,21.67746558,51072,0.0025312877260148525,1060,0.009999999776482582,48.0,6371,106,,,,,,,,,,,,,,
,,479,21.67746558,51072,,1064,,48.0,,106,,,,,,,,,,,,,,
0.003,-8.62401294708252,479,21.6844833,51456,0.005154239479452372,1068,0.009999999776482582,48.0,6419,107,0.8460034050156526,0.27977876742140084,1.0,0,0.8426156976656725,0.0,0.0,0.13046631478299706,0.6542929110740131,0.14186661530965058,0.0,0.0,0.05103993686514518,0.6979208075868031
,,479,21.6844833,51456,,1072,,48.0,,107,,,,,,,,,,,,,,
0.003,-8.852672576904297,479,21.679635479999998,51840,0.0025974754244089127,1076,0.009999999776482582,48.0,6467,108,,,,,,,,,,,,,,
,,479,21.679635479999998,51840,,1080,,48.0,,108,,,,,,,,,,,,,,
0.003,-8.586326599121094,479,21.679578939999992,52224,0.0038208316545933485,1084,0.009999999776482582,48.0,6515,108,0.8516439737975248,0.3048341132668318,1.0,0,0.8783229688864053,0.0,0.0,0.1315780102813217,0.6158262611592841,0.12024048850190115,0.0,0.0,0.05695474015703768,0.6528541054642121
,,479,21.679578939999992,52224,,1088,,48.0,,108,,,,,,,,,,,,,,
0.003,-8.680259704589844,480,21.668259390000003,52608,0.008311509154736996,1092,0.009999999776482582,48.0,6563,109,,,,,,,,,,,,,,
,,479,21.668259390000003,52608,,1096,,48.0,,109,,,,,,,,,,,,,,
0.003,-8.642535209655762,479,21.661909999999992,52992,0.0035233795642852783,1100,0.009999999776482582,48.0,6611,110,0.8596505915285023,0.2862417643678267,1.0,0,0.894537293389934,0.0,0.0,0.12450658167323087,0.6130559767160578,0.0842761976014785,0.0,0.0,0.08019545978293387,0.6770533230221192
,,479,21.661909999999992,52992,,1104,,48.0,,110,,,,,,,,,,,,,,
0.003,-8.47667407989502,480,21.66177166,53376,0.006889211013913155,1108,0.009999999776482582,48.0,6659,111,,,,,,,,,,,,,,
,,480,21.66177166,53376,,1112,,48.0,,111,,,,,,,,,,,,,,
